ticker,price,market_cap,pe,dividend_yield,profit_margin,revenue_growth,roe,beta
COIN,157.37,41460817920.0,57.856617,,0.12736,-0.308,0.06686,3.351
CL,93.21,74585645056.0,36.127907,2.3,0.10041001,0.084,3.6357698,0.319
CMCSA,23.5776,85626314752.0,4.618497,5.6,0.15004,0.053,0.20918,0.655
FIX,1732.03,60939689984.0,50.073143,0.15,0.12073,0.01,0.53294,1.66
COP,112.85,137484484608.0,19.127117,3.08,0.12331,-0.053,0.112840004,0.122
ED,111.82,41208991744.0,18.85666,3.11,0.12524,0.062,0.08732,0.264
STZ,134.51,22974892032.0,12.810475,3.07,0.20143999,-0.033,0.2369,0.382
CEG,257.57,91978768384.0,22.377932,0.66,0.12693,0.638,0.16104999,1.121
COO,71.32,13909583872.0,60.44068,,0.05573,0.079,0.02853,0.84
CPRT,27.445,26437998592.0,17.046583,,0.33481997,0.021,0.17607,1.023
GLW,183.11,157591388160.0,88.03366,0.59,0.1109,0.2,0.1674,1.086
CPAY,362.06,23664936960.0,21.693228,,0.24597,0.254,0.32124,0.881
CTVA,86.07,57565335552.0,46.524323,0.84,0.064959995,0.11,0.051370002,0.558
CSGP,28.77,11748393984.0,411.0,,0.00733,0.225,0.00303,0.735
COST,926.43,410852065280.0,46.60111,0.64,0.0301,0.215,0.29152,0.872
CRH,102.71,68630839296.0,19.055658,1.49,0.09645,0.091,0.15812,1.189
CRWD,187.91,191341101056.0,,,-0.00598,0.256,-0.0024899999,1.237
CCI,79.84,34846322688.0,33.687763,5.34,0.25136,-0.048,,0.972
CSX,49.64,92238012416.0,30.453987,1.13,0.21553,0.017,0.23684,1.211
CMI,664.39,91678564352.0,34.477943,1.18,0.07886,0.027,0.21993999,1.222
CVS,105.9,135120699392.0,46.44737,2.55,0.00723,0.061,0.037520003,0.598
DHR,200.16,141667368960.0,38.7907,0.8,0.14887999,0.037,0.0708,0.823
DRI,196.69,22527889408.0,19.571144,3.11,0.09134,0.137,0.53718,0.585
DDOG,260.24,92635078656.0,667.28204,,0.03695,0.322,0.039300002,1.543
